date,sum_open_interest,sum_open_interest_value
2020-09-01,39934.278874999996,474219842.1132188
2020-09-02,37611.97112847222,435737435.81761193
2020-09-03,35895.57838888888,396603873.82327056
2020-09-04,31990.109822916667,332112459.3301515
2020-09-05,32901.93084027778,337708784.2639366
2020-09-06,33055.745350694444,337191266.1080592
2020-09-07,34897.42679861111,354502340.37529546
2020-09-08,36148.83557638889,366711543.19507134
2020-09-09,35257.43553125,359052420.20921254
2020-09-10,34740.113350694446,358977337.4316755
2020-09-11,34959.84455902778,360049563.1321385
2020-09-12,34023.41012847223,352781908.58276886
2020-09-13,34165.777017361106,354959518.77508
2020-09-14,34143.08663888889,358536996.4288676
2020-09-15,34314.12264930556,369401128.54371625
2020-09-16,36101.876378472225,393089651.21033585
2020-09-17,35036.83472916667,381387057.07274014
2020-09-18,34644.758291666665,378237740.68761927
2020-09-19,35421.16388194445,389792737.84020925
2020-09-20,35599.672315972224,388393158.7729423
2020-09-21,36898.99557291667,393850671.5978065
2020-09-22,38633.20534375,404292738.0589454
2020-09-23,39124.37692361111,407912974.6094105
2020-09-24,39517.052350694445,412236276.42627543
2020-09-25,36678.541229166665,391164251.4653608
2020-09-26,37560.65000347222,402236247.287511
2020-09-27,37369.04118661972,400321559.85976493
2020-09-28,36182.43107638889,393471680.2946452
2020-09-29,34556.06323263889,370697123.2708654
2020-09-30,35640.90114583333,382778225.12137705
2020-10-01,35938.46701388889,386402119.28434026
2020-10-02,37286.07138888889,392268060.55084115
2020-10-03,37466.03461805556,394917411.1683868
2020-10-04,37379.99947222222,396076540.00039643
2020-10-05,38292.237802083335,409559551.5523422
2020-10-06,39622.25371875,423748253.4826685
2020-10-07,37817.831569444446,401330069.697313
2020-10-08,38732.83112152778,415487243.3874721
2020-10-09,38768.03195486111,425444452.66845167
2020-10-10,38428.10907986111,435390127.1602016
2020-10-11,38934.002868055555,442285168.52778304
2020-10-12,39101.18957986111,447373657.82033765
2020-10-13,37095.149284722225,424622666.7696452
2020-10-14,37147.427701388886,423396468.29072577
2020-10-15,36603.22033333333,417508622.07710636
2020-10-16,38004.24234027778,431619233.1261619
2020-10-17,37590.207954861115,426148867.2429383
2020-10-18,37408.01354166667,427223691.3385637
2020-10-19,39481.51064583333,457065835.71260047
2020-10-20,43190.79869444444,511159569.45304173
2020-10-21,46548.720347222225,578858358.1417565
2020-10-22,45585.25341726618,589235967.1372716
2020-10-23,47295.512493055554,611242192.0966856
2020-10-24,48158.96281597222,626814298.1003051
2020-10-25,45437.52766666667,592698688.3993886
2020-10-26,45763.08157291667,597425951.8509468
2020-10-27,47410.65303472222,633271589.8231763
2020-10-28,44999.145,605002397.3825583
2020-10-29,44729.77219444444,595630042.6004622
2020-10-30,45775.90307291667,614124717.3584608
2020-10-31,48087.51520833334,659893417.4182447
2020-11-01,49651.71378125,682740649.236734
2020-11-02,48844.456715277774,663312399.8387451
2020-11-03,47401.20285069445,644479314.0501941
2020-11-04,49170.64667361111,682522248.4358765
2020-11-05,50560.27411805556,743127329.7652926
2020-11-06,44226.36577777778,688810986.6209553
2020-11-07,42856.05109375,657692114.7294284
2020-11-08,40335.23221180556,612588859.7958701
2020-11-09,41035.09801041667,630574531.3143961
2020-11-10,39677.317510416666,607367609.6972724
2020-11-11,41387.68577430556,644919343.7704234
2020-11-12,42422.54442361111,674872057.5766063
2020-11-13,43501.69712152777,707917206.7414364
2020-11-14,42544.49993402778,681187222.0971408
2020-11-15,42286.03194584837,675782197.0525435
2020-11-16,43539.97389583333,712298167.0451953
2020-11-17,43059.51531944444,734869460.9290543
2020-11-18,40959.341697916665,732416289.2203966
2020-11-19,40471.400972222225,722156551.45404
2020-11-20,40626.69642013889,744680591.6626558
2020-11-21,40658.98869285714,760739682.0837383
2020-11-22,43143.98189236111,795622916.8682982
2020-11-23,41936.1980625,774021437.9449148
2020-11-24,42741.91009722222,807240130.0369
2020-11-25,43703.52257291667,833072294.5702237
2020-11-26,37947.75722569445,662615201.00277
2020-11-27,35120.538138888885,596521480.6424584
2020-11-28,35279.38047916666,610453645.1392263
2020-11-29,35795.2215,643548103.5593508
2020-11-30,37257.124559027776,704949588.3003416
2020-12-01,37543.97222916667,724122649.0329947
2020-12-02,35296.90780208333,668859295.9651139
2020-12-03,37518.748090277775,723288021.4343965
2020-12-04,38565.96338888889,737136153.7909786
2020-12-05,38462.317197916665,730413155.3030305
2020-12-06,39011.96509027778,746823221.0769826
2020-12-07,39869.15423611111,765499529.2781072
2020-12-08,40512.398753472226,767254771.3990469
2020-12-09,39467.28610416667,720861301.0046313
2020-12-10,39040.07608680556,714604055.0297443
2020-12-11,39808.391361111106,713955940.7900817
2020-12-12,39232.14157986111,724193187.1781583
2020-12-13,40099.79481944445,766434388.831182
2020-12-14,39806.764388888885,762843082.9624228
2020-12-15,41950.943381944446,811718645.969143
2020-12-16,42813.15905555556,858923235.0515721
2020-12-17,38876.819736111116,878245085.2373031
2020-12-18,37367.13491666667,855242666.0262666
2020-12-19,38962.19648611111,910527540.683074
2020-12-20,39467.593263888884,931714201.2183958
2020-12-21,37663.97896180555,876762567.5343632
2020-12-22,37742.10055902778,872362271.2189425
2020-12-23,35283.91761111111,831349445.0759374
2020-12-24,32374.13923263889,752339354.3049096
2020-12-25,36136.802930555554,869005378.8318592
2020-12-26,36517.050368055556,923283443.25738
2020-12-27,33745.67129513889,914312034.322284
2020-12-28,32553.24406597222,879512926.431108
2020-12-29,34366.01751041666,918389704.0861685
2020-12-30,35531.35313541666,1001133717.7126113
2020-12-31,35338.1945625,1020744393.8270122
2021-01-01,36898.91409027777,1078734155.8812025
2021-01-02,37398.15435069444,1149104824.876623
2021-01-03,34635.83878819444,1160010340.2673564
2021-01-04,31354.432649305556,1001195130.8773305
2021-01-05,28911.858038194445,933409020.5397121
2021-01-06,29112.599309027777,1014361274.2810663
2021-01-07,28991.400354166668,1103707756.2939956
2021-01-08,28885.319986111113,1149969226.530801
2021-01-09,29803.272104166666,1204265141.737544
2021-01-10,30800.150270833336,1223290524.2668328
2021-01-11,27582.309270833335,948839706.7185158
2021-01-12,25857.70636111111,901824770.756616
2021-01-13,26151.863274305553,909473642.6784476
2021-01-14,28107.03173611111,1083053126.1729538
2021-01-15,28800.686076388887,1080139656.4737263
2021-01-16,27914.330465277777,1029255903.1318116
2021-01-17,27487.637555555557,980617025.7418526
2021-01-18,28162.60598263889,1016334230.048793
2021-01-19,28888.40609722222,1065932510.5341029
2021-01-20,29949.159937269374,1051047784.5403224
2021-01-21,31893.837927083336,1051756744.7327344
2021-01-22,28111.91507638889,894828416.457279
2021-01-23,26661.86515625,862246950.676753
2021-01-24,27218.725673611112,876937391.8130538
2021-01-25,28774.22571527778,961014292.0053179
2021-01-26,27728.995972222223,886691965.3274126
2021-01-27,29480.125072916664,916410036.6089478
2021-01-28,29982.88443402778,952155310.1545775
2021-01-29,31970.86968402778,1120532227.315706
2021-01-30,29692.45026041667,1011658988.2427886
2021-01-31,31280.13962847222,1046011688.8899384
2021-02-01,30885.926395833332,1041583403.2066731
2021-02-02,30512.802475694443,1060174777.8065553
2021-02-03,29742.71742013889,1087379789.410375
2021-02-04,29868.10139236111,1121123354.3686187
2021-02-05,30340.047756272397,1142296415.146265
2021-02-06,32788.563444444444,1306867806.2834673
2021-02-07,32846.75760278745,1271876535.313835
2021-02-08,33286.0855,1376319943.2495415
2021-02-09,35018.75814236111,1636170820.0467882
2021-02-10,33890.248526132404,1553926425.6989284
2021-02-11,34473.8947826087,1597372903.6653664
2021-02-12,35877.931333333334,1708893246.2719438
2021-02-13,34443.18019097222,1628976742.5240867
2021-02-14,36816.683618055555,1791667796.6705933
2021-02-15,34702.84939649123,1662109081.40993
2021-02-16,35356.737351916374,1729963209.9687238
2021-02-17,37558.05865277778,1915943617.4921026
2021-02-18,36940.31350522648,1920278181.473902
2021-02-19,35308.06993119266,1861578789.826091
2021-02-20,34439.386334558825,1940494017.3104305
2021-02-21,33558.525725694446,1916155911.669013
2021-02-22,31987.775593749997,1752367691.1833885
2021-02-23,28211.009659722222,1385006786.7005644
