run_id,horizon,window_type,feature_group,model_name,n_features,n_samples,directional_accuracy,balanced_accuracy,brier_score,calibration_error,sharpe,max_drawdown,net_return,beats_buy_hold,beats_momentum,reliability_label
btc_research_20260507T183236Z,30,official_monthly,price_momentum_only,buy_hold_direction,0,100,0.51,0.5,0.48030000000000006,0.47999999999999987,0.7218542351604857,-0.712253337992643,8.40243525635288,False,False,Low confidence
btc_research_20260507T183236Z,30,official_monthly,price_momentum_only,momentum_30d,0,100,0.52,0.5202080832332934,0.256,0.01200000000000001,0.6663763289831129,-0.48181901255299286,5.063173250773783,True,False,Low confidence
btc_research_20260507T183236Z,30,official_monthly,price_momentum_only,momentum_90d,0,100,0.55,0.5492196878751501,0.25000000000000006,0.002000000000000224,0.7443711700964941,-0.5161669484906326,8.404250921258626,True,True,Low confidence
btc_research_20260507T183236Z,30,official_monthly,price_momentum_only,random_permutation,0,100,0.45,0.4483793517406963,0.2717284881146795,0.10810282848841117,0.3778009394908933,-0.7389610874794639,0.7202328093197985,False,False,Low confidence
btc_research_20260507T183236Z,30,official_monthly,price_momentum_only,logistic_linear,40,100,0.48,0.4741896758703481,0.251396026639094,0.07092284639899203,0.6192232276583031,-0.665564341099657,4.221858976692335,False,False,Low confidence
btc_research_20260507T183236Z,30,official_monthly,price_momentum_only,hgb,40,100,0.43,0.4267707082833133,0.2708872408667615,0.10971098960037225,0.3867386533256051,-0.6200513487296864,0.7706630587695933,False,False,Low confidence
btc_research_20260507T183236Z,30,official_monthly,price_momentum_only,random_forest,40,100,0.51,0.5060024009603842,0.26872209892784266,0.09595698671697947,0.6867155516482241,-0.5065576715997628,6.188841638520656,False,False,Low confidence
btc_research_20260507T183236Z,30,official_monthly,macro_liquidity_only,buy_hold_direction,0,100,0.51,0.5,0.48030000000000006,0.47999999999999987,0.7218542351604857,-0.712253337992643,8.40243525635288,False,False,Low confidence
btc_research_20260507T183236Z,30,official_monthly,macro_liquidity_only,momentum_30d,0,100,0.52,0.5202080832332934,0.256,0.01200000000000001,0.6663763289831129,-0.48181901255299286,5.063173250773783,True,False,Low confidence
btc_research_20260507T183236Z,30,official_monthly,macro_liquidity_only,momentum_90d,0,100,0.55,0.5492196878751501,0.25000000000000006,0.002000000000000224,0.7443711700964941,-0.5161669484906326,8.404250921258626,True,True,Low confidence
btc_research_20260507T183236Z,30,official_monthly,macro_liquidity_only,random_permutation,0,100,0.45,0.4483793517406963,0.2717284881146795,0.10810282848841117,0.3778009394908933,-0.7389610874794639,0.7202328093197985,False,False,Low confidence
btc_research_20260507T183236Z,30,official_monthly,macro_liquidity_only,logistic_linear,18,100,0.51,0.5060024009603842,0.26605357481469316,0.09726266003231988,0.6098243320891354,-0.665564341099657,4.102834693889032,False,False,Low confidence
btc_research_20260507T183236Z,30,official_monthly,macro_liquidity_only,hgb,18,100,0.49,0.48639455782312924,0.26656822564400634,0.11303822182200526,0.5168487438709392,-0.5424192484860185,2.2297502760688883,False,False,Low confidence
btc_research_20260507T183236Z,30,official_monthly,macro_liquidity_only,random_forest,18,100,0.48,0.477390956382553,0.27190786071396383,0.06967113985418706,0.503032488109355,-0.5667788524543617,2.11172664289358,False,False,Low confidence
btc_research_20260507T183236Z,30,official_monthly,dollar_rates_only,buy_hold_direction,0,100,0.51,0.5,0.48030000000000006,0.47999999999999987,0.7218542351604857,-0.712253337992643,8.40243525635288,False,False,Low confidence
btc_research_20260507T183236Z,30,official_monthly,dollar_rates_only,momentum_30d,0,100,0.52,0.5202080832332934,0.256,0.01200000000000001,0.6663763289831129,-0.48181901255299286,5.063173250773783,True,False,Low confidence
btc_research_20260507T183236Z,30,official_monthly,dollar_rates_only,momentum_90d,0,100,0.55,0.5492196878751501,0.25000000000000006,0.002000000000000224,0.7443711700964941,-0.5161669484906326,8.404250921258626,True,True,Low confidence
btc_research_20260507T183236Z,30,official_monthly,dollar_rates_only,random_permutation,0,100,0.45,0.4483793517406963,0.2717284881146795,0.10810282848841117,0.3778009394908933,-0.7389610874794639,0.7202328093197985,False,False,Low confidence
btc_research_20260507T183236Z,30,official_monthly,dollar_rates_only,logistic_linear,63,100,0.55,0.5456182472989195,0.24483732692051952,0.10830491531179763,0.9117006418781025,-0.4294903282393202,22.19758124043539,True,True,Low confidence
btc_research_20260507T183236Z,30,official_monthly,dollar_rates_only,hgb,63,100,0.48,0.477390956382553,0.25762940236460047,0.08107940420526726,0.5780079763850984,-0.6304150511747164,3.466625273983822,False,False,Low confidence
btc_research_20260507T183236Z,30,official_monthly,dollar_rates_only,random_forest,63,100,0.46,0.4561824729891957,0.254005819339702,0.07901367699838097,0.5835133348506156,-0.5741110117943378,3.5893734247185867,False,False,Low confidence
btc_research_20260507T183236Z,30,official_monthly,risk_assets_only,buy_hold_direction,0,100,0.51,0.5,0.48030000000000006,0.47999999999999987,0.7218542351604857,-0.712253337992643,8.40243525635288,False,False,Low confidence
btc_research_20260507T183236Z,30,official_monthly,risk_assets_only,momentum_30d,0,100,0.52,0.5202080832332934,0.256,0.01200000000000001,0.6663763289831129,-0.48181901255299286,5.063173250773783,True,False,Low confidence
btc_research_20260507T183236Z,30,official_monthly,risk_assets_only,momentum_90d,0,100,0.55,0.5492196878751501,0.25000000000000006,0.002000000000000224,0.7443711700964941,-0.5161669484906326,8.404250921258626,True,True,Low confidence
