run_id,horizon,window_type,feature_group,model_name,n_features,n_samples,directional_accuracy,balanced_accuracy,brier_score,calibration_error,sharpe,max_drawdown,net_return,beats_buy_hold,beats_momentum,reliability_label
sol_research_20260507T125935Z,30,official_monthly,price_momentum_only,buy_hold_direction,0,36,0.5,0.5,0.4901,0.4900000000000002,1.072679344609367,-0.5529337741212068,5.214781852389298,False,True,Low confidence
sol_research_20260507T125935Z,30,official_monthly,price_momentum_only,momentum_30d,0,36,0.4722222222222222,0.4722222222222222,0.2655555555555556,0.005555555555555425,0.7444080471709749,-0.558023727205674,1.727065075424163,False,False,Low confidence
sol_research_20260507T125935Z,30,official_monthly,price_momentum_only,momentum_90d,0,36,0.5555555555555556,0.5555555555555556,0.2488888888888889,0.01111111111111085,0.946061600353129,-0.4299408098334305,3.4570607695235873,True,True,Low confidence
sol_research_20260507T125935Z,30,official_monthly,price_momentum_only,random_permutation,0,36,0.5555555555555556,0.5555555555555556,0.2410178787433036,0.0860069206359218,0.9578256047746427,-0.37414764304773196,2.8685137559533547,True,True,Low confidence
sol_research_20260507T125935Z,30,official_monthly,price_momentum_only,logistic_linear,40,36,0.6666666666666666,0.6666666666666667,0.23439121627774295,0.04353692136687332,1.1235957904176217,-0.37418692534307474,5.446069390005605,True,True,Medium confidence
sol_research_20260507T125935Z,30,official_monthly,price_momentum_only,hgb,40,36,0.5277777777777778,0.5277777777777778,0.2529822904758872,0.1569619933382562,0.7082434232897148,-0.37577249540468427,1.3004419174178818,True,True,Low confidence
sol_research_20260507T125935Z,30,official_monthly,price_momentum_only,random_forest,40,36,0.6111111111111112,0.6111111111111112,0.26014457872927044,0.11077288859177886,1.0069738584909504,-0.37414764304773196,3.7156293035589787,True,True,Low confidence
sol_research_20260507T125935Z,30,official_monthly,macro_liquidity_only,buy_hold_direction,0,36,0.5,0.5,0.4901,0.4900000000000002,1.072679344609367,-0.5529337741212068,5.214781852389298,False,True,Low confidence
sol_research_20260507T125935Z,30,official_monthly,macro_liquidity_only,momentum_30d,0,36,0.4722222222222222,0.4722222222222222,0.2655555555555556,0.005555555555555425,0.7444080471709749,-0.558023727205674,1.727065075424163,False,False,Low confidence
sol_research_20260507T125935Z,30,official_monthly,macro_liquidity_only,momentum_90d,0,36,0.5555555555555556,0.5555555555555556,0.2488888888888889,0.01111111111111085,0.946061600353129,-0.4299408098334305,3.4570607695235873,True,True,Low confidence
